company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for,salary_range
Dainik Bhaskar Group,4.4,1.3k,34,49,"Company Culture, Skill Development / Learning, Work Life Balance",,High
HighRadius,2.9,1.3k,29,172,,"Job Security, Work Satisfaction, Work Life Balance",Below Average
Trident Group,3.3,1.3k,11,92,Salary & Benefits,"Job Security, Work Life Balance, Company Culture",Average
Polycab Wires,4.1,1.3k,37,87,"Work Life Balance, Salary & Benefits, Skill Development / Learning",,High
HDFC Securities,3.6,1.3k,58,97,,"Promotions / Appraisal, Work Satisfaction, Company Culture",Average
Bata,3.8,1.3k,1,56,,"Promotions / Appraisal, Work Satisfaction",Average
Manipal Hospitals,4.2,1.3k,68,72,"Skill Development / Learning, Job Security, Company Culture",,High
Spinny,3.8,1.3k,45,153,,"Promotions / Appraisal, Job Security, Work Life Balance",Average
Medanta the Medicity,4.1,1.2k,35,90,"Job Security, Skill Development / Learning, Company Culture",,High
Relaxo Footwear,4.2,1.2k,42,75,"Job Security, Company Culture, Skill Development / Learning",,High
Vardhman Fabrics,4.0,1.2k,7,58,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",Average
EPAM Systems,3.7,1.2k,49,482,"Skill Development / Learning, Salary & Benefits, Work Life Balance","Promotions / Appraisal, Job Security",Average
Max Fashion,4.1,1.2k,--,55,"Skill Development / Learning, Job Security, Company Culture",,High
Foxconn,4.0,1.2k,8,139,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,Average
Oberoi Group of Hotels,4.2,1.2k,--,84,"Skill Development / Learning, Job Security, Company Culture",,High
IDC Technologies,3.3,1.2k,2,61,,"Job Security, Promotions / Appraisal, Skill Development / Learning",Average
Security and Intelligence Services (India),4.2,1.2k,23,51,"Job Security, Work Life Balance, Skill Development / Learning",,High
Emami,4.0,1.2k,7,83,"Job Security, Work Life Balance",Promotions / Appraisal,Average
Mercer,3.7,1.2k,18,75,Job Security,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",Average
Tesco,3.9,1.2k,87,113,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",Average
NextComm Corporation,4.9,1.2k,--,5,"Work Life Balance, Promotions / Appraisal, Company Culture",,High
Newgen Software Technologies,3.6,1.2k,19,177,Job Security,"Work Satisfaction, Skill Development / Learning",Average
Veritas Finance,4.7,1.2k,--,68,"Company Culture, Job Security, Work Life Balance",,High
Shadowfax Technologies,3.6,1.2k,21,109,,"Promotions / Appraisal, Job Security, Company Culture",Average
Hyatt Regency,4.2,1.2k,1,42,"Skill Development / Learning, Company Culture, Job Security",,High
iOPEX Technologies,3.6,1.2k,15,62,,"Salary & Benefits, Promotions / Appraisal",Average
NIIT,3.6,1.2k,35,77,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
CG Power and Industrial Solutions,3.9,1.2k,6,73,Job Security,Promotions / Appraisal,Average
TCS iON,3.9,1.2k,--,337,"Job Security, Work Life Balance",Promotions / Appraisal,Average
Belrise Industries,3.8,1.2k,5,81,,"Promotions / Appraisal, Salary & Benefits",Average
Jio Platforms,3.5,1.2k,--,179,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",Average
AkzoNobel,4.2,1.2k,10,56,"Company Culture, Salary & Benefits, Job Security",Promotions / Appraisal,High
Bajaj Capital,3.9,1.2k,29,74,"Skill Development / Learning, Work Life Balance, Company Culture",,Average
Aforeserve,3.4,1.2k,30,51,,"Promotions / Appraisal, Salary & Benefits, Job Security",Average
Marriott International,4.3,1.2k,106,73,"Skill Development / Learning, Job Security, Company Culture",,High
ICICI Home Finance,3.7,1.2k,18,69,Salary & Benefits,"Work Life Balance, Work Satisfaction",Average
L.G.Balakrishnan & Bros,3.6,1.2k,--,55,,"Salary & Benefits, Promotions / Appraisal, Company Culture",Average
Bhushan Power & Steel,4.0,1.2k,--,47,Skill Development / Learning,Promotions / Appraisal,Average
KFC,4.1,1.2k,--,56,"Skill Development / Learning, Company Culture, Job Security",,High
Marico,4.0,1.2k,7,79,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal,Average
Aye Finance,4.2,1.2k,13,56,"Salary & Benefits, Work Life Balance, Company Culture",,High
AtkinsRealis,4.0,1.2k,61,86,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal,Average
Toyota Kirloskar Motor,4.4,1.2k,--,46,"Company Culture, Skill Development / Learning, Job Security",,High
LivSpace,3.6,1.2k,187,132,,"Promotions / Appraisal, Job Security, Work Life Balance",Average
Wipro Enterprises Ltd,3.9,1.2k,--,139,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Average
Suguna Foods,4.0,1.2k,--,69,,Promotions / Appraisal,Average
Hero Motors Company,4.1,1.2k,5,80,"Work Life Balance, Company Culture, Skill Development / Learning",,High
Aon,3.9,1.2k,77,61,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",Average
Exotic Learning,4.5,1.2k,--,43,"Company Culture, Work Life Balance, Skill Development / Learning",,High
Faurecia,3.9,1.2k,58,58,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal,Average
Pine Labs,3.5,1.2k,14,93,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
Welspun,4.1,1.2k,--,62,"Skill Development / Learning, Company Culture, Job Security",,High
Chandigarh University,4.4,1.2k,167,70,"Job Security, Skill Development / Learning, Company Culture",,High
Haldiram Foods,3.8,1.2k,4,108,,Promotions / Appraisal,Average
TTEC India,3.7,1.2k,25,125,Company Culture,"Promotions / Appraisal, Salary & Benefits",Average
JioMart,3.9,1.2k,--,91,"Skill Development / Learning, Salary & Benefits, Work Life Balance",Promotions / Appraisal,Average
Henry Harvin Education,3.9,1.2k,66,11,"Work Life Balance, Skill Development / Learning, Job Security",,Average
Aditya Birla Health Insurance Co,3.9,1.2k,1,82,"Job Security, Skill Development / Learning",Promotions / Appraisal,Average
Sigma Electric Manufacturing Corporation,4.0,1.2k,9,62,"Company Culture, Skill Development / Learning",Promotions / Appraisal,Average
Oracle Financial Services Software,3.6,1.2k,--,157,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Muthoot Group,3.6,1.2k,--,62,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Cushman & Wakefield,4.2,1.2k,63,72,"Company Culture, Work Life Balance, Job Security",,High
Krishna Maruti,4.0,1.2k,6,84,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,Average
FedEx Express,4.0,1.1k,84,85,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,Average
AB InBev India,3.4,1.1k,6,91,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
Collabera Technologies,3.5,1.1k,5,130,,"Promotions / Appraisal, Job Security, Salary & Benefits",Average
Satin Creditcare Network,4.0,1.1k,8,48,"Company Culture, Salary & Benefits, Work Life Balance",,Average
Dell EMC,4.1,1.1k,--,62,"Work Life Balance, Company Culture, Job Security",,High
Sony,4.3,1.1k,6,60,"Company Culture, Work Life Balance, Job Security",,High
IFB,3.7,1.1k,1,85,,"Promotions / Appraisal, Work Satisfaction, Company Culture",Average
ISS Facility Services,4.2,1.1k,17,47,"Work Life Balance, Job Security, Company Culture",,High
Redcliffe Labs,4.4,1.1k,12,43,"Salary & Benefits, Skill Development / Learning, Work Satisfaction",,High
Health Care Global Enterprises,4.2,1.1k,32,56,"Skill Development / Learning, Job Security, Work Life Balance",,High
Paytm Payments Bank,3.9,1.1k,1,123,,"Promotions / Appraisal, Job Security",Average
Daimler India Commercial Vehicles,4.1,1.1k,5,59,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,High
Xyz Company,3.8,1.1k,3,415,"Company Culture, Work Life Balance",,Average
Piramal Group,3.9,1.1k,63,60,"Skill Development / Learning, Company Culture, Work Life Balance",,Average
Narayana Educational Society,3.7,1.1k,--,54,,"Promotions / Appraisal, Work Life Balance, Company Culture",Average
Granules India,3.9,1.1k,6,62,Job Security,"Promotions / Appraisal, Skill Development / Learning",Average
GMR Group,4.0,1.1k,--,70,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Average
K12 Techno Services,3.0,1.1k,76,128,,"Job Security, Promotions / Appraisal, Company Culture",Below Average
Broadridge Financial Solutions,4.0,1.1k,52,127,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Average
Gland Pharma,3.8,1.1k,7,70,,"Salary & Benefits, Promotions / Appraisal",Average
Caterpillar Inc,4.3,1.1k,100,160,"Company Culture, Work Life Balance, Job Security",,High
Goldman Sachs,3.6,1.1k,192,391,,"Work Life Balance, Job Security, Promotions / Appraisal",Average
Supreme Industries,4.2,1.1k,--,64,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,High
Annapurna Finance,4.1,1.1k,--,59,"Salary & Benefits, Job Security, Skill Development / Learning",,High
Nayara Energy,4.2,1.1k,29,77,"Job Security, Salary & Benefits, Work Life Balance",,High
Jindal X,3.5,1.1k,3,96,,"Job Security, Promotions / Appraisal, Work Satisfaction",Average
Evalueserve,3.3,1.1k,27,105,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Sanofi,4.3,1.1k,255,68,"Work Life Balance, Company Culture, Skill Development / Learning",,High
J. Kumar Infraprojects,4.1,1.1k,3,65,"Job Security, Skill Development / Learning, Work Life Balance",,High
Xiaomi,3.9,1.1k,--,82,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal,Average
GE Vernova,4.1,1.1k,38,78,"Company Culture, Work Life Balance, Salary & Benefits","Promotions / Appraisal, Job Security",High
NSE.IT,3.6,1.1k,16,119,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Pantaloons,4.2,1.1k,--,56,"Job Security, Skill Development / Learning, Company Culture",,High
Canara Bank,3.4,1.1k,23,54,Job Security,"Work Life Balance, Work Satisfaction, Company Culture",Average
Godrej Industries Group,4.0,1.1k,--,112,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,Average
Compass Group Support Services,4.1,1.1k,29,51,"Company Culture, Work Life Balance, Skill Development / Learning",,High
Gujarat Fluorochemicals,4.0,1.1k,10,75,"Job Security, Work Life Balance, Skill Development / Learning",,Average
Heritage Foods,4.1,1.1k,31,79,"Salary & Benefits, Job Security, Company Culture",,High
Ashoka Buildcon,4.1,1.1k,16,62,"Skill Development / Learning, Salary & Benefits, Work Life Balance",,High
Spicejet,3.6,1.1k,6,91,,"Promotions / Appraisal, Salary & Benefits, Job Security",Average
ITD Cementation India,4.3,1.1k,3,61,"Job Security, Company Culture, Salary & Benefits",,High
Tanishq,4.4,1.1k,1,63,"Skill Development / Learning, Company Culture, Work Satisfaction",,High
CorroHealth,3.4,1.1k,2,127,,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",Average
Sysnet Global Technologies,3.6,1.1k,2,63,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
VLCC,3.6,1.1k,21,37,,"Promotions / Appraisal, Company Culture, Work Life Balance",Average
GE,4.3,1.1k,26,99,"Company Culture, Work Life Balance, Skill Development / Learning",,High
Asahi India Glass,3.9,1.1k,15,70,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits",Average
Lavender Technology,5.0,1.1k,--,3,"Company Culture, Skill Development / Learning, Promotions / Appraisal",,High
Bharat FIH,4.0,1.1k,4,69,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,Average
Lumax Industries,4.0,1.1k,4,67,"Job Security, Skill Development / Learning",,Average
CSB Bank,3.3,1.1k,52,67,,"Promotions / Appraisal, Work Satisfaction, Company Culture",Average
Fabindia,3.9,1.1k,6,50,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,Average
SRL Diagnostics,4.1,1.1k,--,55,"Skill Development / Learning, Work Life Balance, Company Culture",,High
Panasonic,4.1,1.1k,16,45,"Work Life Balance, Job Security, Company Culture",,High
Amity University,3.6,1.1k,38,90,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Average
Valeo,4.0,1.1k,24,84,"Job Security, Salary & Benefits, Work Life Balance",,Average
Devyani International,3.9,1.1k,26,43,Skill Development / Learning,,Average
Bharat Forge,3.8,1.1k,1,53,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Average
Hindustan Construction Company,4.2,1.1k,--,74,"Job Security, Company Culture, Skill Development / Learning",,High
Tata 1mg,3.7,1.1k,25,136,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
Amul India,4.1,1.1k,3,112,"Job Security, Work Life Balance, Company Culture",,High
VMware Software,4.4,1.1k,49,152,"Company Culture, Salary & Benefits, Work Life Balance",,High
MiraMed Ajuba,4.0,1.1k,--,54,"Job Security, Company Culture, Skill Development / Learning",,Average
Aptara,3.3,1.1k,9,60,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Average
Tietoevry,4.3,1.1k,16,81,"Work Life Balance, Company Culture, Job Security",,High
Unisys,3.8,1.1k,113,67,,Promotions / Appraisal,Average
Indoco Remedies,3.6,1.1k,4,63,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Average
Barclays Shared Services,3.9,1.1k,8,29,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,Average
Unichem Laboratories,3.9,1.1k,26,81,Job Security,Promotions / Appraisal,Average
CIE Automotive,3.7,1.1k,26,71,,"Promotions / Appraisal, Company Culture, Work Satisfaction",Average
Bisleri,4.2,1.1k,13,75,"Job Security, Work Life Balance, Salary & Benefits",,High
TELUS International Philippines,3.8,1.1k,28,89,Work Life Balance,Promotions / Appraisal,Average
Sharekhan,4.0,1.1k,12,72,"Work Life Balance, Company Culture",Promotions / Appraisal,Average
Pristyn Care,3.9,1.1k,23,70,"Salary & Benefits, Skill Development / Learning, Company Culture",,Average
QualityKiosk Technologies,3.5,1.1k,211,128,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Godrej Properties,3.7,1.1k,1,81,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",Average
ZF Commercial Vehicle Control Systems,4.0,1.1k,--,34,Skill Development / Learning,"Promotions / Appraisal, Job Security",Average
Capri Global Capital,3.6,1.1k,3,49,,"Job Security, Promotions / Appraisal, Work Satisfaction",Average
Infinx,3.6,1.1k,29,97,,"Promotions / Appraisal, Salary & Benefits",Average
Jet Airways,4.6,1k,--,24,"Work Satisfaction, Skill Development / Learning, Company Culture",,High
Jakson Group,4.4,1k,8,72,"Company Culture, Skill Development / Learning, Work Life Balance",,High
Hitachi Astemo,4.1,1k,--,98,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,High
Suryoday Small Finance Bank,4.0,1k,9,66,"Salary & Benefits, Skill Development / Learning, Company Culture",,Average
Ocwen Financial Solutions,4.0,1k,10,48,"Work Life Balance, Company Culture",Promotions / Appraisal,Average
Vfs Global Services,3.7,1k,10,54,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Steel Strips Wheels,3.7,1k,4,62,,"Company Culture, Work Life Balance, Promotions / Appraisal",Average
Indegene,3.5,1k,45,145,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",Average
Clover Infotech,3.6,1k,55,91,,"Promotions / Appraisal, Company Culture, Work Life Balance",Average
Schindler,4.0,1k,13,69,"Skill Development / Learning, Salary & Benefits, Company Culture",,Average
Provana,4.0,1k,26,79,"Company Culture, Skill Development / Learning, Work Life Balance",,Average
Synchrony,4.3,1k,30,67,"Job Security, Company Culture, Work Life Balance",,High
Wheelseye Technology,3.7,1k,14,83,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
Infogain,3.6,1k,122,110,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Kantar,3.5,1k,3,103,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Edelweiss,3.9,1k,26,56,Work Life Balance,Promotions / Appraisal,Average
Cinépolis,4.0,1k,8,49,"Job Security, Company Culture, Skill Development / Learning",,Average
Burger King,3.9,1k,5,67,"Skill Development / Learning, Salary & Benefits",,Average
IndiaFirst Life Insurance,4.0,1k,--,55,Salary & Benefits,,Average
SAI Life Sciences,3.9,1k,9,75,"Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,Average
FOCUS EDUMATICS,3.3,1k,2,121,,"Job Security, Promotions / Appraisal, Salary & Benefits",Average
Dixon Technologies,4.1,1k,6,97,"Job Security, Skill Development / Learning",,High
FastInfo,4.4,1k,10,38,"Skill Development / Learning, Company Culture, Work Life Balance",,High
EOSGlobe,3.1,1k,7,75,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
FDC,4.0,1k,1,47,Work Life Balance,Promotions / Appraisal,Average
Amara Raja Energy & Mobility,4.2,1k,29,63,"Job Security, Work Life Balance, Skill Development / Learning",,High
Iffco Tokio General Insurance Co.,4.0,1k,10,36,"Job Security, Work Life Balance, Company Culture",,Average
Northern Trust Operating Services,4.0,1k,68,100,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,Average
Fino Payments Bank,3.9,1k,31,45,,Promotions / Appraisal,Average
Tata AutoComp Systems,3.9,1k,25,81,"Job Security, Skill Development / Learning",Promotions / Appraisal,Average
Patanjali Foods,3.9,1k,3,50,"Work Life Balance, Salary & Benefits",Promotions / Appraisal,Average
BVG India,3.9,1k,21,41,Work Life Balance,Promotions / Appraisal,Average
Morningstar,3.9,1k,59,234,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,Average
ECIL,4.2,999,--,43,"Work Life Balance, Work Satisfaction, Company Culture",,High
Sansera Engineering,4.2,997,13,63,"Skill Development / Learning, Company Culture, Job Security",,High
ReNew,4.2,995,83,76,"Job Security, Company Culture, Skill Development / Learning",,High
VIBGYOR Group of Schools,3.7,993,96,63,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
Continental Automotive Components,4.2,990,2,64,"Job Security, Work Life Balance, Company Culture",,High
SYSKA LED Lights,2.8,987,--,54,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Below Average
Punjab National Bank,4.0,987,--,35,"Job Security, Salary & Benefits, Promotions / Appraisal",,Average
IIFL SAMASTA,4.0,986,14,55,"Skill Development / Learning, Job Security, Salary & Benefits",,Average
Apco Infratech,3.8,986,3,106,,"Company Culture, Job Security, Promotions / Appraisal",Average
Adobe,4.0,984,189,242,"Company Culture, Work Life Balance, Job Security",,Average
Hinduja Leyland Finance,4.0,983,--,29,"Work Life Balance, Job Security",Promotions / Appraisal,Average
Fidelity National Financial,3.8,983,2,48,Job Security,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",Average
NTT DATA Business Solutions,3.8,982,1,64,,Promotions / Appraisal,Average
Oil And Natural Gas Corporation,4.3,981,--,69,"Work Life Balance, Job Security, Work Satisfaction",,High
AGS Transact Technologies,3.4,980,--,29,,"Promotions / Appraisal, Salary & Benefits, Job Security",Average
DCM Shriram,4.2,979,2,77,"Job Security, Company Culture, Work Life Balance",,High
Amneal Pharmaceuticals,4.2,978,4,60,"Work Life Balance, Job Security, Company Culture",,High
Wistron,3.9,977,--,80,Job Security,"Promotions / Appraisal, Salary & Benefits",Average
Urban Company,3.5,976,43,126,,"Job Security, Promotions / Appraisal, Work Life Balance",Average
Jaquar,4.0,975,1,52,"Job Security, Work Life Balance",Promotions / Appraisal,Average
SKF,4.1,974,31,61,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,High
Atul,3.9,971,--,74,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,Average
Eaton Corporation,4.0,969,29,108,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,Average
Vestas,4.3,969,44,79,"Company Culture, Work Life Balance, Skill Development / Learning",,High
Decathlon,3.9,969,62,96,"Skill Development / Learning, Company Culture, Job Security","Promotions / Appraisal, Work Life Balance",Average
Best Sellers,4.2,968,5,28,"Company Culture, Skill Development / Learning, Work Life Balance",,High
PNB Housing Finance,3.8,968,19,41,,Promotions / Appraisal,Average
DENSO,4.2,966,1,66,"Job Security, Company Culture, Salary & Benefits",,High
The Jaypee Group,3.8,965,--,40,Job Security,"Promotions / Appraisal, Salary & Benefits",Average
Amazon Logistics,4.3,965,--,75,"Skill Development / Learning, Company Culture, Salary & Benefits",,High
Worley,4.1,963,393,100,"Work Life Balance, Company Culture, Job Security",,High
CreditAccess Grameen,4.2,963,2,34,"Company Culture, Job Security, Salary & Benefits",,High
Fresenius Kabi,4.2,962,54,38,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,High
Sonata Software,3.5,962,50,106,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
iSON Xperiences,3.4,962,25,60,,"Promotions / Appraisal, Salary & Benefits, Job Security",Average
ManpowerGroup,3.9,961,9,48,Work Life Balance,"Promotions / Appraisal, Job Security",Average
Intel,4.3,961,41,209,"Work Life Balance, Company Culture, Work Satisfaction",,High
DISH TV,3.6,959,--,55,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
TE Connectivity,4.1,959,164,73,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,High
Slk Software Services,3.4,956,201,83,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Mondelez International,4.3,956,58,55,"Salary & Benefits, Company Culture, Job Security",,High
ANZ Banking Group,4.1,955,15,81,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,High
TUV SUD,3.9,953,29,54,,Promotions / Appraisal,Average
R Systems International,3.3,953,23,104,,"Job Security, Promotions / Appraisal, Skill Development / Learning",Average
Saipem,4.1,952,1,42,"Job Security, Work Life Balance, Work Satisfaction",Promotions / Appraisal,High
Luminous Power Technologies,4.2,950,19,60,"Work Life Balance, Job Security, Company Culture",,High
Sunknowledge Services,3.9,948,8,67,"Job Security, Skill Development / Learning, Work Satisfaction",,Average
Tenneco,3.8,947,4,56,,"Promotions / Appraisal, Salary & Benefits, Job Security",Average
GEP Worldwide,3.8,947,6,122,Company Culture,"Promotions / Appraisal, Salary & Benefits",Average
Tata Electronics,4.0,947,--,133,Job Security,Promotions / Appraisal,Average
Shriram Life Insurance,3.7,945,23,64,,"Promotions / Appraisal, Salary & Benefits",Average
OpenText Technologies,3.8,944,21,153,"Work Life Balance, Company Culture",Promotions / Appraisal,Average
Medhaj Techno Concept,4.2,944,--,45,"Company Culture, Work Satisfaction, Skill Development / Learning",,High
Apexon,3.3,944,37,124,,"Promotions / Appraisal, Job Security, Salary & Benefits",Average
AIIMS,4.2,942,--,52,"Skill Development / Learning, Work Satisfaction, Salary & Benefits",Promotions / Appraisal,High
Baazar Retail Private Limited,4.7,942,4,59,"Company Culture, Skill Development / Learning, Job Security",,High
V5 Global Services,3.9,941,1,58,,Promotions / Appraisal,Average
iMerit,3.6,941,11,90,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Average
Altimetrik,3.8,941,43,196,"Salary & Benefits, Work Life Balance, Company Culture","Promotions / Appraisal, Job Security",Average
PharmEasy,3.8,939,7,77,,"Job Security, Promotions / Appraisal",Average
Bajaj Housing Finance,3.8,939,5,52,,"Work Life Balance, Company Culture, Work Satisfaction",Average
Acuity Knowledge Partners,3.4,936,84,130,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Shriram Pistons & Rings,4.1,936,--,60,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,High
JSW Cement,4.1,935,--,96,"Job Security, Salary & Benefits, Company Culture",,High
Airtel Payments Bank,4.1,930,15,70,"Skill Development / Learning, Company Culture, Work Life Balance",,High
Brillio,3.4,927,36,118,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
Happiest Minds Technologies,3.8,923,7,114,"Job Security, Work Life Balance",Promotions / Appraisal,Average
Chetu,3.2,919,1,156,,"Job Security, Work Life Balance, Company Culture",Average
Aditya Birla Finance,3.9,917,5,40,"Salary & Benefits, Skill Development / Learning, Work Life Balance",,Average
RBL FinServe,4.1,912,--,46,"Salary & Benefits, Skill Development / Learning, Job Security",,High
Hatsun Agro Product,4.0,911,8,60,Skill Development / Learning,"Job Security, Promotions / Appraisal",Average
Wind World,3.9,911,2,69,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",Average
Shubham Housing Development Finance,3.9,909,8,32,"Skill Development / Learning, Salary & Benefits, Job Security",,Average
Intertek,3.7,908,11,44,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Automotive Manufacturers,4.1,907,5,72,"Skill Development / Learning, Salary & Benefits, Work Life Balance",,High
Thyrocare Technologies,3.5,906,9,61,,"Promotions / Appraisal, Job Security, Salary & Benefits",Average
Nippon Paint India,4.0,906,4,49,,,Average
Godrej Consumer Products,4.2,905,--,42,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,High
GAIL,4.5,904,--,75,"Work Life Balance, Company Culture, Skill Development / Learning",,High
Zoho,4.3,903,--,461,"Job Security, Company Culture, Work Life Balance",,High
ACG Worldwide,4.0,903,23,60,"Job Security, Salary & Benefits",Promotions / Appraisal,Average
Aircel,4.3,902,--,7,"Company Culture, Work Satisfaction, Skill Development / Learning",,High
Muthoot Microfin,4.4,902,4,31,"Skill Development / Learning, Company Culture, Work Life Balance",,High
Altisource,3.7,899,42,39,,"Job Security, Promotions / Appraisal, Skill Development / Learning",Average
TEKsystems,3.5,899,10,110,,"Promotions / Appraisal, Job Security, Skill Development / Learning",Average
Aerial Telecom Solutions,4.4,898,24,40,"Work Life Balance, Work Satisfaction, Company Culture",,High
Kotak Mahindra Prime,4.0,897,2,45,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,Average
Nykaa,3.5,897,--,104,,"Promotions / Appraisal, Company Culture, Work Satisfaction",Average
Piaggio,3.6,896,13,53,,"Promotions / Appraisal, Job Security, Salary & Benefits",Average
Karur Vysya Bank,3.7,894,23,64,,"Promotions / Appraisal, Work Satisfaction, Company Culture",Average
Sahara India Pariwar,3.8,892,1,24,,"Promotions / Appraisal, Salary & Benefits",Average
More Supermarket,3.8,891,--,67,,Promotions / Appraisal,Average
MedPlus,3.6,890,21,73,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Average
Podar International School,4.2,889,9,61,"Skill Development / Learning, Job Security, Company Culture",,High
Qualcomm,3.9,888,112,257,Salary & Benefits,,Average
Spencer's Retail,3.8,887,5,44,,Promotions / Appraisal,Average
Johnson Lifts,4.0,886,--,37,"Job Security, Work Life Balance",,Average
Bajaj Motors,3.9,886,--,48,Skill Development / Learning,Promotions / Appraisal,Average
Coca-Cola Company,4.3,886,--,83,"Skill Development / Learning, Company Culture, Salary & Benefits",,High
Ion Exchange India,3.8,885,32,57,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",Average
Nexa,4.0,884,--,32,Skill Development / Learning,,Average
Mu Sigma,2.7,884,--,213,,"Work Life Balance, Job Security, Company Culture",Below Average
Karma Ayurveda,4.5,883,--,5,"Work Life Balance, Skill Development / Learning, Promotions / Appraisal",,High
Samsung Research,3.3,883,--,117,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",Average
Atos Global IT Solutions And Services,4.0,880,34,71,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,Average
Nielsen,3.7,879,--,108,"Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Average
Zydus Wellness,4.2,879,13,67,"Salary & Benefits, Company Culture, Work Life Balance",,High
Bharat Sanchar Nigam,4.0,878,--,36,"Work Life Balance, Job Security, Work Satisfaction",Promotions / Appraisal,Average
Episource,3.8,878,--,220,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,Average
