company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for,salary_range
Dr. Reddy's,4.1,6.4k,31,373,"Skill Development / Learning, Company Culture, Work Life Balance",,High
Sutherland Global Services,3.7,6.4k,156,571,,"Promotions / Appraisal, Salary & Benefits",Average
Tata Steel,4.2,6.3k,24,765,"Job Security, Skill Development / Learning, Work Life Balance",,High
Bajaj Finance,4.0,6.2k,20,287,"Salary & Benefits, Skill Development / Learning, Job Security",,Average
ICICI Prudential Life Insurance,4.1,5.9k,29,354,"Job Security, Salary & Benefits, Skill Development / Learning",,High
Wells Fargo,3.9,5.9k,38,516,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,Average
Jana Small Finance Bank,3.8,5.8k,56,232,,,Average
Amazon Development Centre India,4.1,5.8k,14,651,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,High
Lupin,4.2,5.7k,62,326,"Skill Development / Learning, Company Culture, Work Life Balance",,High
Zydus Lifesciences,4.2,5.7k,37,289,"Salary & Benefits, Skill Development / Learning, Job Security",,High
Delhivery,3.9,5.7k,110,425,Skill Development / Learning,Promotions / Appraisal,Average
L&T Construction,4.0,5.6k,--,659,"Job Security, Skill Development / Learning, Salary & Benefits",Work Life Balance,Average
JPMorgan Chase & Co.,4.1,5.6k,705,700,"Job Security, Company Culture, Skill Development / Learning",,High
Sun Pharmaceutical Industries,4.1,5.5k,149,368,"Job Security, Salary & Benefits, Skill Development / Learning",,High
Muthoot Fincorp,4.5,5.4k,43,319,"Skill Development / Learning, Company Culture, Job Security",,High
Hexaware Technologies,3.6,5.4k,336,689,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
HCL Group,3.7,5.3k,1,431,Job Security,"Promotions / Appraisal, Salary & Benefits",Average
ITC,4.0,5.3k,24,525,"Job Security, Skill Development / Learning",Promotions / Appraisal,Average
JSW Steel,4.0,5.3k,74,535,"Job Security, Skill Development / Learning",Promotions / Appraisal,Average
FIS,3.9,5.3k,192,449,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,Average
Indian Army,4.7,5.2k,--,144,"Job Security, Company Culture, Work Satisfaction",,High
Hindustan Unilever,4.2,5.2k,13,335,"Skill Development / Learning, Job Security, Company Culture",,High
IIFL Finance,4.0,5.1k,51,242,"Work Life Balance, Skill Development / Learning, Salary & Benefits",,Average
